1	247	0	0	0	0
173508	247	223	0	0	0
266162	247	223	504	0	0
720870	247	223	504	1582	0
3564986011	247	223	504	2058	0
882340	247	223	504	3125	0
1007	247	223	504	3145	0
1002	247	223	936	0	0
4539344011	247	223	1019	0	0
266160	247	223	1139	0	0
1005	247	223	1582	0	0
872404	247	223	1760	0	0
15762881	247	223	1770	0	0
3564987011	247	223	1770	341	0
15762891	247	223	1770	1582	0
3564988011	247	223	1770	2414	0
8929882011	247	223	1770	2414	872
8929883011	247	223	1770	2414	2413
3564989011	247	223	1770	2948	0
3564990011	247	223	1770	3199	0
1008	247	223	1883	0	0
7921642011	247	223	1883	1320	0
1019	247	223	1883	1582	0
7921643011	247	223	1883	2429	0
4539346011	247	223	1933	0	0
1057	247	223	2059	0	0
1059	247	223	2990	0	0
8929884011	247	223	2990	2982	0
8929885011	247	223	2990	2988	0
1048	247	223	3104	0	0
7743006011	247	223	3314	0	0
4539347011	247	223	3601	0	0
720868	247	223	3815	0	0
8929886011	247	223	3815	50	0
8929887011	247	223	3815	2057	0
13922567011	247	223	3857	0	0
1835	247	528	0	0	0
1525	247	769	0	0	0
8622763011	247	769	1582	0	0
8622764011	247	769	1667	0	0
8622765011	247	769	2805	0	0
336832011	247	1021	0	0	0
1851	247	1021	1020	0	0
3564963011	247	1021	1050	0	0
1852	247	1021	1542	0	0
3564966011	247	1021	1891	0	0
8298052011	247	1021	1891	1890	0
8298053011	247	1021	1891	2973	0
5824912011	247	1021	1931	0	0
5399	247	1021	1931	1019	0
13922573011	247	1021	1991	0	0
1854	247	1021	3676	0	0
1855	247	1145	0	0	0
1839	247	1145	601	0	0
14292115011	247	1145	601	189	0
14292116011	247	1145	601	799	0
14292117011	247	1145	601	1582	0
14292118011	247	1145	601	2226	0
520992	247	1145	789	0	0
11357541011	247	1145	791	0	0
14279703011	247	1145	791	186	0
14279705011	247	1145	791	710	0
14279709011	247	1145	791	801	0
14279714011	247	1145	791	1392	0
14279716011	247	1145	791	1401	0
14279719011	247	1145	791	1461	0
14279722011	247	1145	791	1582	0
14279726011	247	1145	791	1841	0
14279728011	247	1145	791	2224	0
14279732011	247	1145	791	3121	0
14279733011	247	1145	791	3274	0
520994	247	1145	1422	0	0
1857	247	1145	1582	0	0
1858	247	1145	2776	0	0
1859	247	1145	2791	0	0
1860	247	1145	2792	0	0
1861	247	1145	3488	0	0
1862	247	1401	0	0	0
2030	247	1401	1405	0	0
1829	247	1649	0	0	0
1878	247	1649	112	0	0
170107	247	1649	188	0	0
1840	247	1649	743	0	0
1841	247	1649	807	0	0
1842	247	1649	807	80	0
1843	247	1649	807	191	0
3564964011	247	1649	807	443	0
3564965011	247	1649	807	470	0
1844	247	1649	807	1404	0
1846	247	1649	807	1867	0
1847	247	1649	807	3285	0
1867	247	1649	2145	0	0
1872	247	1649	2963	0	0
1863	247	1649	3647	0	0
1865	247	1649	3647	3823	0
1875	247	1649	3787	0	0
1064	247	1771	0	0	0
10825731	247	1771	936	0	0
713036011	247	1771	1770	0	0
197504011	247	1771	3686	0	0
5824913011	247	1771	3686	1317	0
5824916011	247	1771	3686	1582	0
5824914011	247	1771	3686	1829	0
5824915011	247	1771	3686	2061	0
5824917011	247	1771	3686	2874	0
5824918011	247	1771	3686	2915	0
1873	247	1771	3686	3120	0
11764635011	247	1771	3686	3282	0
15762841	247	1771	3686	3998	0
1104	247	1884	0	0	0
8947733011	247	1884	243	0	0
8947734011	247	1884	1320	0	0
585494	247	1884	1582	0	0
8947735011	247	1884	2429	0	0
4507	247	2477	0	0	0
2331	247	2477	403	0	0
2332	247	2477	403	730	0
2337	247	2477	403	910	0
8417570011	247	2477	403	910	908
8417571011	247	2477	403	910	1465
2338	247	2477	403	1582	0
9681285011	247	2477	403	1730	0
2339	247	2477	403	1984	0
2340	247	2477	403	2904	0
9681286011	247	2477	403	3033	0
9681287011	247	2477	403	3076	0
2341	247	2477	403	3164	0
2342	247	2477	403	3183	0
4509	247	2477	514	0	0
4510	247	2477	1582	0	0
4511	247	2477	1771	0	0
1764	247	2477	1920	0	0
1765	247	2477	1920	472	0
8622772011	247	2477	1920	472	1525
8622773011	247	2477	1920	472	3766
8622774011	247	2477	1920	472	3772
8622775011	247	2477	1920	472	3772
8622776011	247	2477	1920	472	3772
1766	247	2477	1920	1582	0
1767	247	2477	1920	1679	0
1768	247	2477	1920	2797	0
8622779011	247	2477	1920	2797	1156
8622780011	247	2477	1920	2797	3407
