0000000116	41.66	48.83	5.66	3.86
0000000868	1.92	0.00	21.98	76.10
0000013714	0.00	0.00	44.69	55.31
0000015393	23.53	47.06	29.41	0.00
0000029831	21.03	19.41	21.72	37.85
0000038504	6.88	1.08	33.95	58.09
0000041696	9.28	5.57	11.32	73.84
0000095699	36.66	7.83	7.17	48.34
0000174076	1.00	87.58	2.40	9.02
0000202010	6.30	50.96	22.74	20.00
0000230022	46.15	0.00	15.38	38.46
0000401048	11.49	9.20	42.53	36.78
0000477141	16.67	5.56	38.89	38.89
000047715X	0.00	16.67	33.33	50.00
0000619574	11.76	5.88	47.06	35.29
000077135X	11.11	44.44	22.22	22.22
0000913154	0.00	0.00	100.00	0.00
000100039X	14.49	23.19	28.99	33.33
0001001787	28.57	14.29	28.57	28.57
0001006002	0.00	33.33	0.00	66.67
0001006657	0.00	0.00	100.00	0.00
0001018043	15.54	21.76	28.50	34.20
0001019880	14.29	14.29	14.29	57.14
000102521X	22.22	11.11	33.33	33.33
0001026038	75.00	25.00	0.00	0.00
0001035649	16.13	19.35	19.35	45.16
0001042335	33.33	0.00	33.33	33.33
0001047566	0.00	50.00	50.00	0.00
0001048236	0.00	0.00	100.00	0.00
0001048775	17.39	26.09	13.04	43.48
0001048791	12.00	56.00	4.00	28.00
0001048813	25.00	0.00	0.00	75.00
0001053396	50.00	16.67	16.67	16.67
0001053655	10.00	30.00	50.00	10.00
0001053744	0.00	100.00	0.00	0.00
0001055178	0.00	100.00	0.00	0.00
0001056107	14.29	14.29	14.29	57.14
0001056530	10.00	10.00	30.00	50.00
0001057138	20.00	40.00	40.00	0.00
0001057146	23.08	7.69	0.00	69.23
0001057170	0.00	33.33	0.00	66.67
0001057324	0.00	0.00	0.00	100.00
0001061100	100.00	0.00	0.00	0.00
0001061127	14.29	14.29	14.29	57.14
0001062395	20.00	20.00	20.00	40.00
0001064487	40.00	0.00	0.00	60.00
0001072986	0.00	0.00	0.00	100.00
0001127748	27.27	0.00	18.18	54.55
0001148427	0.00	0.00	50.00	50.00
0001203010	0.00	0.00	0.00	100.00
0001203088	0.00	0.00	100.00	0.00
0001360000	37.50	0.00	25.00	37.50
0001360183	0.00	50.00	0.00	50.00
0001360779	25.00	0.00	25.00	50.00
0001361139	12.50	12.50	9.38	65.63
0001361155	19.05	14.29	14.29	52.38
000136118X	37.50	0.00	12.50	50.00
0001371037	0.00	0.00	0.00	100.00
0001371045	13.33	26.67	20.00	40.00
0001380877	12.50	50.00	12.50	25.00
0001381245	0.00	0.00	0.00	100.00
0001381733	0.00	41.67	16.67	41.67
0001382489	0.00	0.00	75.00	25.00
0001384155	33.33	66.67	0.00	0.00
0001384163	0.00	0.00	50.00	50.00
0001384198	0.00	68.75	12.50	18.75
0001386301	0.00	0.00	100.00	0.00
0001436163	39.43	18.29	18.29	24.00
0001437879	0.00	0.00	0.00	100.00
0001468685	0.00	75.00	25.00	0.00
0001472933	36.23	15.94	24.64	23.19
0001473123	60.00	0.00	0.00	40.00
0001473727	33.80	19.72	18.31	28.17
0001473905	16.67	0.00	50.00	33.33
0001484648	0.00	50.00	0.00	50.00
0001486632	50.00	0.00	50.00	0.00
0001487795	42.86	9.52	14.29	33.33
0001501232	100.00	0.00	0.00	0.00
0001515195	25.00	25.00	50.00	0.00
0001527355	0.00	100.00	0.00	0.00
0001536338	28.99	11.59	23.19	36.23
0001543849	8.33	16.67	16.67	58.33
000161102X	10.00	20.00	10.00	60.00
0001621076	11.11	33.33	33.33	22.22
0001632108	52.94	11.76	11.76	23.53
0001711237	13.04	26.09	30.43	30.43
0001711296	33.33	0.00	0.00	66.67
000171130X	0.00	50.00	50.00	0.00
0001711342	19.30	43.86	22.81	14.04
0001711474	33.33	0.00	33.33	33.33
0001712772	0.00	66.67	33.33	0.00
000171287X	75.00	0.00	0.00	25.00
0001713086	15.79	52.63	10.53	21.05
0001713108	0.00	50.00	0.00	50.00
0001713256	0.00	50.00	0.00	50.00
0001714384	100.00	0.00	0.00	0.00
0001714538	20.00	30.00	30.00	20.00
0001720104	50.00	50.00	0.00	0.00
0001720252	0.00	0.00	100.00	0.00
0001720317	11.11	44.44	27.78	16.67
0001837192	0.00	0.00	100.00	0.00
0001837397	25.00	0.00	25.00	50.00
0001837664	0.00	100.00	0.00	0.00
0001839225	11.11	72.22	5.56	11.11
0001839233	33.33	0.00	0.00	66.67
0001841580	28.57	71.43	0.00	0.00
0001841777	40.00	40.00	0.00	20.00
0001842501	16.74	14.93	24.43	43.89
0001842765	16.67	13.64	31.82	37.88
0001844040	16.67	16.67	66.67	0.00
0001844164	20.00	0.00	80.00	0.00
0001845357	0.00	0.00	50.00	50.00
0001846590	20.00	9.49	33.56	36.95
000184749X	24.14	31.03	17.24	27.59
0001847627	0.00	50.00	12.50	37.50
0001847775	50.00	16.67	16.67	16.67
0001848062	14.63	21.95	31.71	31.71
0001850032	31.25	31.25	12.50	25.00
0001850164	14.29	14.29	14.29	57.14
0001856871	6.67	40.00	40.00	13.33
0001857029	0.00	100.00	0.00	0.00
0001857169	16.33	22.45	26.53	34.69
0001913093	25.00	0.00	12.50	62.50
0001922408	0.00	33.33	0.00	66.67
0001923315	33.33	0.00	0.00	66.67
0001923331	17.09	18.80	26.50	37.61
0001937782	59.26	3.70	14.81	22.22
0001939777	40.62	3.12	15.62	40.63
0001942123	28.57	0.00	0.00	71.43
0001942611	39.13	17.39	17.39	26.09
0001944541	33.33	33.33	16.67	16.67
0001944959	0.00	0.00	25.00	75.00
0001945130	21.74	16.30	31.52	30.43
0001950541	8.70	26.09	34.78	30.43
0001950584	33.33	11.11	44.44	11.11
0001954032	25.00	0.00	50.00	25.00
0001954059	14.81	40.74	29.63	14.81
0001954563	40.00	20.00	20.00	20.00
0001955837	33.33	33.33	33.33	0.00
0001956264	0.00	0.00	0.00	100.00
0001956272	21.03	13.30	30.47	35.19
0001956752	28.57	11.43	28.57	31.43
000195783X	9.09	0.00	27.27	63.64
0001959735	0.00	0.00	42.86	57.14
0001961012	20.00	9.52	35.24	35.24
0001981315	33.33	0.00	0.00	66.67
0001981692	0.00	100.00	0.00	0.00
0001982370	18.18	9.09	36.36	36.36
0001982419	13.95	4.65	34.88	46.51
0001982435	33.33	33.33	0.00	33.33
0001982559	24.59	24.59	39.34	11.48
0001982796	25.00	75.00	0.00	0.00
0001983261	0.00	50.00	50.00	0.00
000198327X	0.00	0.00	0.00	100.00
0001983393	28.00	28.00	18.67	25.33
0001983415	40.00	10.00	30.00	20.00
0001983660	0.00	33.33	33.33	33.33
0001983806	0.00	100.00	0.00	0.00
0001983857	19.32	26.14	31.82	22.73
000198392X	33.33	25.00	8.33	33.33
0001983938	0.00	0.00	0.00	100.00
0001984020	50.00	0.00	0.00	50.00
0002000075	28.98	22.45	25.59	22.98
0002000105	27.63	21.05	17.11	34.21
0002000172	52.63	10.53	5.26	31.58
0002000202	42.31	30.77	7.69	19.23
0002000245	12.05	31.64	15.44	40.87
000200027X	50.00	0.00	0.00	50.00
0002000369	0.00	71.43	28.57	0.00
0002000377	7.32	41.46	17.07	34.15
0002000547	0.00	25.00	25.00	50.00
0002000601	0.00	0.00	100.00	0.00
0002000725	0.00	0.00	0.00	100.00
0002000822	0.00	100.00	0.00	0.00
000200089X	5.13	46.15	30.77	17.95
000200092X	0.00	0.00	100.00	0.00
0002000946	0.00	0.00	0.00	100.00
0002000997	7.58	36.36	40.91	15.15
0002005239	25.00	25.00	25.00	25.00
0002005298	0.00	0.00	100.00	0.00
0002005387	33.33	0.00	0.00	66.67
0002005395	25.00	41.67	33.33	0.00
